place,title,time,pay,date
전남 여수시, 한경기획 청년다방 여수학동점,18:00~22:00,"시급8,720",1시간전
경기 평택시, 한경기획 평택고덕신도시점,시간협의,"시급10,000",3시간전
경기 평택시, 한경기획 평택고덕신도시점,시간협의,"시급10,000",4시간전
충남 천안시, 한경기획 청년다방 천안두정역점,17:00~21:30,"시급8,720",5시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"시급10,464",5시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,800,000",5시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,800,000",6시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,800,000",6시간전
전남 여수시, 한경기획 청년다방 여수학동점,18:00~22:00,"시급8,720",6시간전
경기 평택시, 한경기획 평택고덕신도시점,시간협의,"시급10,000",8시간전
서울 은평구, 한경기획 청년다방 응암이마트점,10:00~17:00,"월급1,450,000",8시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급9,000",8시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,시간협의,"월급2,500,000",8시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,시간협의,"월급2,500,000",8시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,800,000",08/15
인천 부평구, 한경기획 청년다방 인천삼산점,시간협의,"월급1,050,000",08/14
경기 용인시, 한경기획 청년다방 용인동천점,18:00~22:00,"시급8,800",08/14
인천 남동구, 한경기획 청년다방 인천서창점,10:00~13:00,"시급8,720",08/14
충남 천안시, 한경기획 은화수식당 천안쌍용점,10:00~21:00,"월급2,200,000",08/14
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:00,"월급2,600,000",08/14
서울 마포구, 한경기획 청년다방 망원역점,11:00~23:00,"시급10,464",08/13
경기 용인시, 한경기획 용인김량장점,16:00~22:00,"시급10,000",08/13
경기 용인시, 한경기획 용인김량장점,시간협의,"월급2,600,000",08/13
경기 용인시, 한경기획 용인김량장점,시간협의,"시급10,000",08/12
부산 해운대, 한경기획 청년다방 장산점,11:00~14:30,"시급8,720",08/12
인천 부평구, 한경기획 청년다방 인천삼산점,시간협의,"월급1,050,000",08/11
경기 평택시, 한경기획 평택고덕신도시점,시간협의,"시급10,000",08/10
인천 부평구, 한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",08/10
인천 부평구, 한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",08/09
광주 광산구, 한경기획 청년다방 호남대점,10:00~21:30,"월급1,800,000",08/09
경기 화성시, 한경기획 청년다방 화성병점점,16:00~22:00,"시급8,900",08/09
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급10,000",08/09
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:00,"월급2,600,000",08/08
서울 구로구, 한경기획 청년다방 동양미래대점,10:30~22:00,"월급2,500,000",08/06
부산 부산진, 한경기획 은화수식당 범일동점,10:00~15:00,"시급8,720",08/06
부산 부산진, 한경기획 은화수식당 범일동점,10:00~15:00,"시급8,720",08/04
