place,title,time,pay,date
서울 성동구, 할리스커피 한양대시티빌점,10:00~22:00,"시급8,720",4분전
인천 연수구, 할리스커피 송도IT점,08:00~10:30,"시급8,720",18분전
경기 남양주, 할리스커피 별내북부역점,09:30~11:30,"시급9,000",33분전
부산 수영구, 할리스커피 부산광안리점,07:30~22:30,"시급8,720",33분전
부산 수영구, 할리스커피 부산광안리점,09:00~24:00,"연봉25,000,000",49분전
경기 화성시, 할리스커피 화성융건릉점,19:30~22:00,"시급9,000",55분전
대구 동구, 할리스커피 대구안심점,시간협의,"시급8,720",1시간전
전남 여수시, 할리스커피 여수웅천점,15:30~22:30,"월급1,200,000",1시간전
전남 여수시, 할리스커피 여수웅천점,15:30~22:30,"월급1,500,000",1시간전
전남 여수시, 할리스커피 여수웅천점,15:30~22:30,"월급1,800,000",1시간전
경기 화성시, 할리스커피 화성융건릉점,18:00~22:00,"시급8,720",1시간전
경기 화성시, 할리스커피 화성융건릉점,12:30~16:30,"시급8,720",2시간전
경기 화성시, 할리스커피 화성융건릉점,18:00~22:00,"시급8,720",2시간전
서울 송파구, 할리스커피 방이역점,09:00~13:00,"시급8,720",2시간전
서울 송파구, 할리스커피 방이역점,18:00~22:00,"시급8,720",2시간전
경기 김포시, 할리스커피 김포한강생태공원점,시간협의,"시급9,000",2시간전
서울 종로구, 할리스커피 서울대학교병원점,19:00~23:00,"시급8,720",2시간전
서울 양천구, 할리스커피 목동예술인회관점,15:00~18:00,"시급8,720",2시간전
대전 서구, 할리스커피 대전만년점,12:00~22:30,"시급8,720",2시간전
경기 의정부, 할리스커피 의정부민락점,19:00~23:00,"시급8,720",3시간전
대전 유성구, 할리스커피 할리스 대전문지점,09:00~14:00,"시급8,720",3시간전
서울 송파구, 할리스커피 방이역점,13:00~17:00,"시급8,720",3시간전
세종 가람동, 할리스커피 세종가람DT점,18:00~22:00,"시급8,720",3시간전
서울 송파구, 할리스커피 방이역점,09:00~13:00,"시급8,720",3시간전
서울 송파구, 할리스커피 방이역점,18:00~22:00,"시급8,720",3시간전
전북 전주시, 할리스커피 서전주DT점,12:00~17:30,"시급8,720",3시간전
서울 관악구, 할리스커피 신림점,13:00~22:00,"시급8,720",3시간전
서울 마포구, 할리스커피 홍대역점,시간협의,"월급1,850,000",3시간전
부산 해운대, 할리스커피 부산달맞이점,18:30~22:00,"시급8,720",3시간전
서울 마포구, 할리스커피 홍대역점,시간협의,"월급1,850,000",3시간전
서울 동작구, 할리스커피 대방역점,15:00~24:00,"월급1,900,000",3시간전
전북 익산시, 할리스커피 익산부송점,19:00~24:00,"시급8,720",4시간전
서울 전체, 할리스커피 광나루역점,18:30~22:00,"시급8,720",4시간전
서울 마포구, 할리스커피 합정역점,16:00~22:00,"시급8,720",4시간전
경기 수원시, 할리스커피 수원역점,18:00~23:00,"시급8,720",4시간전
서울 마포구, 할리스커피 홍대역2번출구점,15:00~24:00,"시급8,720",4시간전
서울 마포구, 할리스커피 홍대역2번출구점,시간협의,"월급1,850,000",4시간전
서울 전체, 할리스커피 종로DGB점,11:00~14:00,"시급8,720",4시간전
경남 진주시, 할리스커피 진주교대점,17:00~22:00,"시급8,720",4시간전
경기 수원시, 할리스커피 수원역점,18:00~23:00,"시급8,720",4시간전
서울 전체, 할리스커피 광나루역점,12:00~18:00,"시급8,720",4시간전
서울 전체, 할리스커피 청담삼성로점,18:00~22:00,"시급8,720",4시간전
서울 강남구, 할리스커피 청담삼성로점,10:00~14:00,"시급8,720",4시간전
서울 마포구, 할리스커피 합정역점,16:00~22:00,"시급8,720",5시간전
서울 양천구, 할리스커피 목동점,14:00~18:00,"시급8,720",5시간전
경기 하남시, 할리스커피 하남덕풍점,12:30~04:30,"시급8,720",5시간전
대구 수성구, 할리스커피 대구수성네거리점,시간협의,"시급8,720",7시간전
서울 강남구, 할리스커피 선릉샹제리제점,17:00~22:00,"시급8,720",8시간전
서울 강남구, 할리스커피 선릉샹제리제점,09:30~14:00,"시급8,720",8시간전
서울 강남구, 할리스커피 선릉샹제리제점,09:30~14:00,"시급8,720",8시간전
