place,title,time,pay,date
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급8,720",12분전
서울 금천구, 호식이두마리치킨 독산1호점,17:00~23:00,"시급8,720",50분전
충남 아산시, 모종점,18:00~22:00,"시급8,720",53분전
충남 아산시, 모종점,18:00~22:00,"시급8,720",53분전
충남 아산시, 모종점,18:00~22:00,"시급8,720",53분전
충남 아산시, 모종점,18:00~22:00,"시급8,720",53분전
충남 아산시, 모종점,18:00~22:00,"시급8,720",53분전
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급9,500",1시간전
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급8,720",1시간전
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급9,500",2시간전
제주 제주시, 호식이두마리치킨 삼화점,18:00~23:00,"시급9,000",2시간전
제주 제주시, 호식이두마리치킨 삼화점,18:00~23:00,"시급9,000",2시간전
제주 제주시, 호식이두마리치킨 삼화점,18:00~23:00,"시급9,000",2시간전
제주 제주시, 호식이두마리치킨 삼화점,18:00~23:00,"시급9,000",2시간전
경기 남양주, 호식이두마리치킨 창현점,시간협의,"시급13,000",2시간전
경기 남양주, 호식이두마리치킨 창현점,17:00~22:00,"시급8,720",2시간전
전북 전주시, 호식이두마리치킨 송천2호점,18:00~22:00,"시급8,720",3시간전
경기 안산시, 호식이두마리치킨 사동1호점,18:00~23:00,"시급8,720",3시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급8,800",3시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급8,800",3시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급8,800",3시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급8,800",3시간전
부산 동래구, 호식이두마리치킨 기장1호점,시간협의,"건별3,000",4시간전
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급9,500",4시간전
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급9,500",4시간전
경기 김포시, 호식이두마리치킨 운양점,16:30~22:30,"시급8,720",4시간전
경기 남양주, 호식이두마리치킨 남양주 오남점,18:00~24:00,"시급8,720",4시간전
대구 북구, 호식이두마리치킨 금호지구점,17:30~21:30,"시급9,000",5시간전
서울 영등포, 호식이두마리치킨 신길1호점,18:00~02:30,"월급1,800,000",5시간전
경기 남양주, 호식이두마리치킨 평내점,17:00~22:00,"시급9,000",6시간전
경기 남양주, 호식이두마리치킨 남양주 오남점,18:00~24:00,"시급8,720",6시간전
경기 양주시, 호식이두마리치킨 옥정신도시점,18:00~21:00,"시급9,500",6시간전
경기 의정부, 호식이두마리치킨 민락2지구점,시간협의,"시급8,720",6시간전
전북 전주시, 호식이두마리치킨 전북도청점,18:00~22:00,"시급8,720",7시간전
서울 관악구, 호식이두마리치킨 대학점,14:30~02:30,"월급3,200,000",7시간전
서울 관악구, 호식이두마리치킨 대학점,14:30~02:30,"월급3,200,000",7시간전
경기 고양시, 호식이두마리치킨 관산점,18:00~23:00,"시급8,720",7시간전
서울 영등포, 호식이두마리치킨 신길1호점,17:00~24:00,"시급11,500",7시간전
부산 사상구, 호식이두마리치킨 덕포점,18:00~22:00,"시급9,000",8시간전
인천 부평구, 호식이두마리치킨 부개1호점,18:00~23:00,"시급9,000",16시간전
부산 남구, 호식이두마리치킨 용호점,17:00~22:00,"시급8,720",19시간전
경기 남양주, 호식이두마리치킨 창현점,17:00~22:00,"시급13,000",19시간전
경기 남양주, 호식이두마리치킨 창현점,17:00~22:00,"시급8,720",19시간전
서울 금천구, 호식이두마리치킨 독산1호점,18:00~24:00,"시급8,720",20시간전
경기 남양주, 호식이두마리치킨 별내2호점,18:00~23:00,"시급10,000",08/15
부산 남구, 호식이두마리치킨 용호점,17:00~22:00,"시급8,720",08/13
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급8,720",08/13
강원 원주시, 호식이두마리치킨 원주2호점,17:00~23:00,"시급10,000",08/13
서울 금천구, 호식이두마리치킨 독산1호점,시간협의,"월급1,300,000",08/12
경기 의정부, 호식이두마리치킨 녹양점,18:00~22:00,"시급8,720",08/12
