place,title,time,pay,date
서울 광진구, 호치킨 건대입구역점,시간협의,"월급2,400,000",3분전
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급8,720",27분전
경기 용인시, 호치킨 동백골드프라자점,17:00~01:00,"시급12,000",1시간전
서울 광진구, 호치킨 건대입구역점,시간협의,"월급2,400,000",1시간전
서울 은평구, 호치킨 은평뉴타운점,13:00~02:00,"시급9,000",2시간전
서울 은평구, 호치킨 응암이마트점,19:00~24:00,"시급9,000",2시간전
경기 용인시, 호치킨 동백골드프라자점,17:00~01:00,"월급2,000,000",3시간전
경기 시흥시, 호치킨 시흥목감역점,15:00~02:00,"월급2,600,000",3시간전
경기 용인시, 호치킨 동백골드프라자점,17:00~01:00,"월급2,000,000",3시간전
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급8,720",5시간전
서울 광진구, 호치킨 건대입구역점,시간협의,"월급2,400,000",5시간전
서울 송파구, 호치킨 오금점,18:00~23:00,"시급9,200",5시간전
서울 은평구, 호치킨 응암이마트점,19:00~24:00,"시급9,000",5시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",6시간전
서울 송파구, 호치킨 오금점,18:00~23:00,"시급9,200",6시간전
서울 송파구, 호치킨 오금점,18:00~23:00,"시급9,200",6시간전
서울 송파구, 호치킨 오금점,18:00~23:00,"시급9,200",7시간전
인천 남동구, 호치킨 관교점,18:30~00:30,"시급9,000",7시간전
인천 남동구, 호치킨 관교점,18:30~00:30,"시급9,000",7시간전
인천 남동구, 호치킨 관교점,18:30~00:30,"시급9,000",7시간전
인천 남동구, 호치킨 관교점,18:30~00:30,"시급9,000",7시간전
서울 송파구, 호치킨 오금점,18:00~23:00,"시급9,200",7시간전
인천 남동구, 호치킨 관교점,18:30~00:30,"시급9,000",7시간전
서울 은평구, 호치킨 응암이마트점,19:00~24:00,"시급9,000",8시간전
서울 은평구, 호치킨 응암이마트점,19:00~24:00,"시급9,000",08/15
경기 시흥시, 호치킨 시흥목감역점,15:00~02:00,"월급2,600,000",08/15
경기 용인시, 호치킨 동백골드프라자점,17:00~01:00,"월급2,000,000",08/14
경기 의정부, 호치킨 회룡역점,19:00~22:30,"시급8,720",08/13
경기 고양시, 호치킨 일산후곡마을점,시간협의,"시급8,800",08/11
서울 은평구, 호치킨 응암이마트점,19:00~24:00,"시급9,000",08/07
경기 시흥시, 호치킨 시흥목감역점,15:00~02:00,"월급2,600,000",08/07
경기 시흥시, 호치킨 시흥목감역점,15:00~02:00,"월급2,600,000",08/07
경기 시흥시, 호치킨 시흥목감역점,15:00~02:00,"월급2,600,000",08/07
경기 용인시, 호치킨 용인흥덕점(양2),13:00~24:00,"월급2,700,000",08/04
경기 용인시, 호치킨 용인흥덕점(양2),13:00~24:00,"월급2,700,000",08/03
서울 양천구, 호치킨 목2동시장점,18:30~22:00,"시급10,000",08/02
인천 남동구, 호치킨 서창2지구점(현-2),시간협의,"시급8,720",08/02
서울 송파구, 호치킨 문정점,18:00~23:00,"시급8,720",08/02
서울 양천구, 호치킨 목2동시장점,18:30~22:00,"시급10,000",08/02
