place,title,time,pay,date
경기 광주시, 홍익아트 광명지사,시간협의,"월급1,800,000",7분전
경기 광명시, 홍익아트 광명지사,시간협의,"월급1,800,000",9분전
경기 파주시, 홍익아트 고양시 파주지사,시간협의,"월급1,800,000",12분전
제주 제주시, 홍익아트 제주시지사,시간협의,"월급180,000",12분전
전북 익산시, 홍익아트 익산지사,시간협의,"월급1,800,000",14분전
광주 남구, 홍익아트 광주남구지사,시간협의,"월급1,800,000",16분전
광주 서구, 홍익아트 광주서구지사,시간협의,"월급1,800,000",17분전
경기 고양시, 홍익아트 고양시 일산서구지사,시간협의,"월급1,800,000",18분전
광주 북구, 홍익아트 광주북구지사,시간협의,"월급1,800,000",20분전
경기 고양시, 홍익아트 고양시 일산동구지사,시간협의,"월급1,800,000",20분전
광주 광산구, 홍익아트 광주광산구지사,시간협의,"월급1,800,000",21분전
경기 고양시, 홍익아트 고양시 덕양지사,시간협의,"월급1,800,000",22분전
전남 순천시, 홍익아트 순천지사,시간협의,"월급1,800,000",23분전
전남 광양시, 홍익아트 광양지사,시간협의,"월급1,800,000",25분전
경남 사천시, 홍익아트 사천지사,시간협의,"월급1,800,000",27분전
경남 진주시, 홍익아트 진주지사,시간협의,"월급1,800,000",30분전
경남 김해시, 홍익아트 김해지사,시간협의,"월급1,800,000",32분전
경북 포항시, 홍익아트 포항북구지사,시간협의,"월급1,800,000",34분전
경북 포항시, 홍익아트 포항남구지사,시간협의,"월급1,800,000",36분전
경북 구미시, 홍익아트 구미지사,시간협의,"월급1,800,000",39분전
경북 경산시, 홍익아트 경산지사,시간협의,"월급1,800,000",41분전
서울 중랑구, 홍익아트 중랑지사,시간협의,"월급1,800,000",41분전
대구 수성구, 홍익아트 대구수성구지사,시간협의,"월급1,800,000",42분전
서울 종로구, 홍익아트 종로지사,시간협의,"월급1,800,000",43분전
대구 북구, 홍익아트 대구북구지사,시간협의,"월급1,800,000",44분전
서울 은평구, 홍익아트 은평지사,시간협의,"월급1,800,000",45분전
대구 동구, 홍익아트 대구동구지사,시간협의,"월급180,000",46분전
서울 용산구, 홍익아트 용산지사,시간협의,"월급1,800,000",48분전
대구 달성군, 홍익아트 대구달성군지사,시간협의,"월급1,800,000",48분전
서울 구로구, 홍익아트 구로지사,시간협의,"연봉1,800,000",50분전
대구 달서구, 홍익아트 대구달서지사,시간협의,"월급1,800,000",51분전
서울 영등포, 홍익아트 영등포지사,시간협의,"월급1,800,000",52분전
울산 북구, 홍익아트 울산북구지사,시간협의,"월급1,800,000",54분전
서울 송파구, 홍익아트 송파지사,시간협의,"월급1,800,000",57분전
울산 동구, 홍익아트 울산동구지사,시간협의,"일급180,000",59분전
서울 성북구, 홍익아트 성북지사,시간협의,"월급1,800,000",1시간전
인천 남동구, 홍익아트 인천남동지사,시간협의,"월급180,000",1시간전
서울 성동구, 홍익아트 성동지사,시간협의,"월급1,800,000",1시간전
인천 서구, 홍익아트 인천서구지사,시간협의,"월급1,800,000",1시간전
인천 계양구, 홍익아트 인천계양지사,시간협의,"월급1,800,000",1시간전
경기 화성시, 홍익아트 화성지사,시간협의,"월급1,800,000",1시간전
경기 하남시, 홍익아트 하남지사,시간협의,"월급1,800,000",1시간전
경기 평택시, 홍익아트 평택지사,시간협의,"월급1,800,000",2시간전
경기 의정부, 홍익아트 의정부지사,시간협의,"월급1,800,000",2시간전
경기 이천시, 홍익아트 이천지사,시간협의,"월급1,800,000",2시간전
경기 용인시, 홍익아트 용인처인지사,시간협의,"월급1,800,000",2시간전
경기 용인시, 홍익아트 용인수지지사,시간협의,"월급1,800,000",2시간전
경기 용인시, 홍익아트 용인기흥지사,시간협의,"월급1,800,000",2시간전
경기 여주시, 홍익아트 여주지사,시간협의,"월급1,800,000",2시간전
경기 안산시, 홍익아트 안산 상록구지사,시간협의,"월급1,800,000",2시간전
